2023-05-22 02:16:12,901 : densenet40_c10        | uncal_ece  5.50 | uncal_acc : 92.42 | cal_ece  1.01 | cal_acc : 92.48
2023-05-22 02:16:14,120 : resnet_wide32_c10     | uncal_ece  4.51 | uncal_acc : 93.93 | cal_ece  0.84 | cal_acc : 94.21
2023-05-22 02:16:15,219 : resnet110_c10         | uncal_ece  4.75 | uncal_acc : 93.56 | cal_ece  1.31 | cal_acc : 93.43
2023-05-22 02:16:16,288 : resnet110_SD_c10      | uncal_ece  4.11 | uncal_acc : 94.04 | cal_ece  0.75 | cal_acc : 94.20
2023-05-22 02:16:17,280 : densenet40_c100       | uncal_ece 21.16 | uncal_acc : 70.00 | cal_ece  0.99 | cal_acc : 70.22
2023-05-22 02:16:18,287 : resnet_wide32_c100    | uncal_ece 18.78 | uncal_acc : 73.82 | cal_ece  1.61 | cal_acc : 74.03
2023-05-22 02:16:19,238 : resnet110_c100        | uncal_ece 18.48 | uncal_acc : 71.48 | cal_ece  2.50 | cal_acc : 71.39
2023-05-22 02:16:20,180 : resnet110_SD_c100     | uncal_ece 15.86 | uncal_acc : 72.83 | cal_ece  1.15 | cal_acc : 73.51
2023-05-22 02:16:21,824 : resnet152_imgnet      | uncal_ece  6.54 | uncal_acc : 76.20 | cal_ece  2.38 | cal_acc : 75.98
2023-05-22 02:16:23,424 : densenet161_imgnet    | uncal_ece  5.72 | uncal_acc : 77.05 | cal_ece  2.24 | cal_acc : 76.78
2023-05-22 02:16:24,569 : densenet40_c10_LT     | uncal_ece 21.08 | uncal_acc : 72.11 | cal_ece  6.02 | cal_acc : 72.37
2023-05-22 02:16:25,529 : resnet_wide28_c10_LT  | uncal_ece  9.11 | uncal_acc : 85.38 | cal_ece  4.16 | cal_acc : 86.42
2023-05-22 02:16:26,736 : resnet110_c10_LT      | uncal_ece 19.14 | uncal_acc : 75.97 | cal_ece  5.74 | cal_acc : 76.17
2023-05-22 02:16:27,472 : resnet110_SD_c10_LT   | uncal_ece 14.43 | uncal_acc : 64.90 | cal_ece  7.36 | cal_acc : 64.10
2023-05-22 02:16:28,397 : densenet40_c100_LT    | uncal_ece 38.40 | uncal_acc : 37.97 | cal_ece 11.54 | cal_acc : 36.72
2023-05-22 02:16:29,309 : resnet_wide28_c100_LT | uncal_ece 18.08 | uncal_acc : 53.57 | cal_ece  8.06 | cal_acc : 56.03
2023-05-22 02:16:30,339 : resnet110_c100_LT     | uncal_ece 41.98 | uncal_acc : 38.57 | cal_ece 11.43 | cal_acc : 36.55
2023-05-22 02:16:31,198 : resnet110_SD_c100_LT  | uncal_ece 30.32 | uncal_acc : 34.87 | cal_ece  7.43 | cal_acc : 33.27
