2023-05-22 04:56:17,275 : densenet40_c10        | uncal_ece  5.50 | uncal_acc : 92.42 | cal_ece  0.85 | cal_acc : 92.49
2023-05-22 04:56:19,478 : resnet_wide32_c10     | uncal_ece  4.51 | uncal_acc : 93.93 | cal_ece  0.74 | cal_acc : 94.24
2023-05-22 04:56:20,943 : resnet110_c10         | uncal_ece  4.75 | uncal_acc : 93.56 | cal_ece  1.11 | cal_acc : 93.45
2023-05-22 04:56:22,413 : resnet110_SD_c10      | uncal_ece  4.11 | uncal_acc : 94.04 | cal_ece  0.57 | cal_acc : 94.20
2023-05-22 04:56:27,670 : densenet40_c100       | uncal_ece 21.16 | uncal_acc : 70.00 | cal_ece  1.03 | cal_acc : 70.40
2023-05-22 04:56:32,404 : resnet_wide32_c100    | uncal_ece 18.78 | uncal_acc : 73.82 | cal_ece  1.50 | cal_acc : 74.05
2023-05-22 04:56:36,726 : resnet110_c100        | uncal_ece 18.48 | uncal_acc : 71.48 | cal_ece  2.24 | cal_acc : 71.50
2023-05-22 04:56:41,850 : resnet110_SD_c100     | uncal_ece 15.86 | uncal_acc : 72.83 | cal_ece  1.20 | cal_acc : 73.66
2023-05-22 04:59:34,723 : resnet152_imgnet      | uncal_ece  6.54 | uncal_acc : 76.20 | cal_ece  1.96 | cal_acc : 76.16
2023-05-22 05:02:07,875 : densenet161_imgnet    | uncal_ece  5.72 | uncal_acc : 77.05 | cal_ece  1.91 | cal_acc : 76.99
2023-05-22 05:02:09,543 : densenet40_c10_LT     | uncal_ece 21.08 | uncal_acc : 72.11 | cal_ece  3.27 | cal_acc : 75.02
2023-05-22 05:02:11,101 : resnet_wide28_c10_LT  | uncal_ece  9.11 | uncal_acc : 85.38 | cal_ece  2.27 | cal_acc : 87.97
2023-05-22 05:02:13,749 : resnet110_c10_LT      | uncal_ece 19.14 | uncal_acc : 75.97 | cal_ece  3.40 | cal_acc : 78.46
2023-05-22 05:02:15,561 : resnet110_SD_c10_LT   | uncal_ece 14.43 | uncal_acc : 64.90 | cal_ece  2.48 | cal_acc : 67.54
2023-05-22 05:02:21,541 : densenet40_c100_LT    | uncal_ece 38.40 | uncal_acc : 37.97 | cal_ece  4.45 | cal_acc : 40.20
2023-05-22 05:02:26,590 : resnet_wide28_c100_LT | uncal_ece 18.08 | uncal_acc : 53.57 | cal_ece  5.79 | cal_acc : 57.65
2023-05-22 05:02:32,966 : resnet110_c100_LT     | uncal_ece 41.98 | uncal_acc : 38.57 | cal_ece  4.74 | cal_acc : 39.88
2023-05-22 05:02:38,239 : resnet110_SD_c100_LT  | uncal_ece 30.32 | uncal_acc : 34.87 | cal_ece  2.02 | cal_acc : 36.40
