2023-05-22 02:55:35,680 : densenet40_c10        | uncal_ece  5.50 | uncal_acc : 92.42 | cal_ece  0.74 | cal_acc : 92.60
2023-05-22 02:55:37,267 : resnet_wide32_c10     | uncal_ece  4.51 | uncal_acc : 93.93 | cal_ece  0.44 | cal_acc : 94.09
2023-05-22 02:55:38,632 : resnet110_c10         | uncal_ece  4.75 | uncal_acc : 93.56 | cal_ece  1.04 | cal_acc : 93.45
2023-05-22 02:55:40,041 : resnet110_SD_c10      | uncal_ece  4.11 | uncal_acc : 94.04 | cal_ece  0.61 | cal_acc : 94.14
2023-05-22 02:55:45,275 : densenet40_c100       | uncal_ece 21.16 | uncal_acc : 70.00 | cal_ece  0.74 | cal_acc : 70.23
2023-05-22 02:55:50,047 : resnet_wide32_c100    | uncal_ece 18.78 | uncal_acc : 73.82 | cal_ece  1.42 | cal_acc : 73.86
2023-05-22 02:55:54,760 : resnet110_c100        | uncal_ece 18.48 | uncal_acc : 71.48 | cal_ece  1.99 | cal_acc : 71.41
2023-05-22 02:55:59,434 : resnet110_SD_c100     | uncal_ece 15.86 | uncal_acc : 72.83 | cal_ece  0.97 | cal_acc : 73.42
2023-05-22 02:58:53,883 : resnet152_imgnet      | uncal_ece  6.54 | uncal_acc : 76.20 | cal_ece  1.68 | cal_acc : 75.91
2023-05-22 03:02:09,689 : densenet161_imgnet    | uncal_ece  5.72 | uncal_acc : 77.05 | cal_ece  1.60 | cal_acc : 76.67
2023-05-22 03:02:11,692 : densenet40_c10_LT     | uncal_ece 21.08 | uncal_acc : 72.11 | cal_ece  2.79 | cal_acc : 74.99
2023-05-22 03:02:13,685 : resnet_wide28_c10_LT  | uncal_ece  9.11 | uncal_acc : 85.38 | cal_ece  1.99 | cal_acc : 88.00
2023-05-22 03:02:16,380 : resnet110_c10_LT      | uncal_ece 19.14 | uncal_acc : 75.97 | cal_ece  2.96 | cal_acc : 78.55
2023-05-22 03:02:18,201 : resnet110_SD_c10_LT   | uncal_ece 14.43 | uncal_acc : 64.90 | cal_ece  2.19 | cal_acc : 67.43
2023-05-22 03:02:24,067 : densenet40_c100_LT    | uncal_ece 38.40 | uncal_acc : 37.97 | cal_ece  3.44 | cal_acc : 40.13
2023-05-22 03:02:29,283 : resnet_wide28_c100_LT | uncal_ece 18.08 | uncal_acc : 53.57 | cal_ece  5.56 | cal_acc : 57.62
2023-05-22 03:02:35,597 : resnet110_c100_LT     | uncal_ece 41.98 | uncal_acc : 38.57 | cal_ece  3.85 | cal_acc : 39.79
2023-05-22 03:02:41,160 : resnet110_SD_c100_LT  | uncal_ece 30.32 | uncal_acc : 34.87 | cal_ece  1.50 | cal_acc : 36.32
