2023-05-23 07:26:28,041 : densenet40_c10        | uncal_ece  5.50 | uncal_acc : 92.42 | cal_ece  1.07 | cal_acc : 92.46
2023-05-23 07:26:47,633 : resnet_wide32_c10     | uncal_ece  4.51 | uncal_acc : 93.93 | cal_ece  0.77 | cal_acc : 94.25
2023-05-23 07:27:14,900 : resnet110_c10         | uncal_ece  4.75 | uncal_acc : 93.56 | cal_ece  1.13 | cal_acc : 93.42
2023-05-23 07:27:42,597 : resnet110_SD_c10      | uncal_ece  4.11 | uncal_acc : 94.04 | cal_ece  0.67 | cal_acc : 94.19
2023-05-23 07:28:46,954 : densenet40_c100       | uncal_ece 21.16 | uncal_acc : 70.00 | cal_ece  1.09 | cal_acc : 70.40
2023-05-23 07:29:53,546 : resnet_wide32_c100    | uncal_ece 18.78 | uncal_acc : 73.82 | cal_ece  1.56 | cal_acc : 74.03
2023-05-23 07:31:02,970 : resnet110_c100        | uncal_ece 18.48 | uncal_acc : 71.48 | cal_ece  2.10 | cal_acc : 71.44
2023-05-23 07:32:05,831 : resnet110_SD_c100     | uncal_ece 15.86 | uncal_acc : 72.83 | cal_ece  1.26 | cal_acc : 73.66
2023-05-23 07:39:41,593 : resnet152_imgnet      | uncal_ece  6.54 | uncal_acc : 76.20 | cal_ece  2.16 | cal_acc : 76.20
2023-05-23 07:59:16,025 : densenet161_imgnet    | uncal_ece  5.72 | uncal_acc : 77.05 | cal_ece  1.91 | cal_acc : 77.00
2023-05-23 08:00:09,056 : densenet40_c10_LT     | uncal_ece 21.08 | uncal_acc : 72.11 | cal_ece  3.17 | cal_acc : 75.06
2023-05-23 08:00:46,405 : resnet_wide28_c10_LT  | uncal_ece  9.11 | uncal_acc : 85.38 | cal_ece  2.37 | cal_acc : 87.97
2023-05-23 08:02:11,926 : resnet110_c10_LT      | uncal_ece 19.14 | uncal_acc : 75.97 | cal_ece  3.44 | cal_acc : 78.45
2023-05-23 08:03:26,333 : resnet110_SD_c10_LT   | uncal_ece 14.43 | uncal_acc : 64.90 | cal_ece  2.46 | cal_acc : 67.59
2023-05-23 08:05:30,793 : densenet40_c100_LT    | uncal_ece 38.40 | uncal_acc : 37.97 | cal_ece  4.39 | cal_acc : 40.23
2023-05-23 08:06:43,618 : resnet_wide28_c100_LT | uncal_ece 18.08 | uncal_acc : 53.57 | cal_ece  5.82 | cal_acc : 57.61
2023-05-23 08:09:02,816 : resnet110_c100_LT     | uncal_ece 41.98 | uncal_acc : 38.57 | cal_ece  4.69 | cal_acc : 39.86
2023-05-23 08:10:19,758 : resnet110_SD_c100_LT  | uncal_ece 30.32 | uncal_acc : 34.87 | cal_ece  2.21 | cal_acc : 36.47
