2023-05-22 11:43:07,139 : densenet40_c10        | uncal_ece  5.50 | uncal_acc : 92.42 | cal_ece  1.76 | cal_acc : 92.37
2023-05-22 11:43:09,101 : resnet_wide32_c10     | uncal_ece  4.51 | uncal_acc : 93.93 | cal_ece  1.47 | cal_acc : 93.95
2023-05-22 11:43:11,033 : resnet110_c10         | uncal_ece  4.75 | uncal_acc : 93.56 | cal_ece  0.81 | cal_acc : 93.58
2023-05-22 11:43:12,985 : resnet110_SD_c10      | uncal_ece  4.11 | uncal_acc : 94.04 | cal_ece  0.83 | cal_acc : 94.07
2023-05-22 11:43:14,962 : densenet40_c100       | uncal_ece 21.16 | uncal_acc : 70.00 | cal_ece  3.87 | cal_acc : 70.32
2023-05-22 11:43:17,078 : resnet_wide32_c100    | uncal_ece 18.78 | uncal_acc : 73.82 | cal_ece  3.94 | cal_acc : 74.00
2023-05-22 11:43:19,047 : resnet110_c100        | uncal_ece 18.48 | uncal_acc : 71.48 | cal_ece  1.75 | cal_acc : 71.56
2023-05-22 11:43:21,174 : resnet110_SD_c100     | uncal_ece 15.86 | uncal_acc : 72.83 | cal_ece  1.15 | cal_acc : 73.53
2023-05-22 11:43:24,648 : resnet152_imgnet      | uncal_ece  6.54 | uncal_acc : 76.20 | cal_ece  1.83 | cal_acc : 76.12
2023-05-22 11:43:28,104 : densenet161_imgnet    | uncal_ece  5.72 | uncal_acc : 77.05 | cal_ece  1.94 | cal_acc : 77.08
2023-05-22 11:43:30,054 : densenet40_c10_LT     | uncal_ece 21.08 | uncal_acc : 72.11 | cal_ece  9.82 | cal_acc : 72.12
2023-05-22 11:43:32,030 : resnet_wide28_c10_LT  | uncal_ece  9.11 | uncal_acc : 85.38 | cal_ece  1.35 | cal_acc : 86.01
2023-05-22 11:43:34,086 : resnet110_c10_LT      | uncal_ece 19.14 | uncal_acc : 75.97 | cal_ece 10.58 | cal_acc : 76.16
2023-05-22 11:43:36,166 : resnet110_SD_c10_LT   | uncal_ece 14.43 | uncal_acc : 64.90 | cal_ece  2.60 | cal_acc : 65.26
2023-05-22 11:43:38,343 : densenet40_c100_LT    | uncal_ece 38.40 | uncal_acc : 37.97 | cal_ece 11.26 | cal_acc : 37.78
2023-05-22 11:43:40,277 : resnet_wide28_c100_LT | uncal_ece 18.08 | uncal_acc : 53.57 | cal_ece  5.40 | cal_acc : 55.86
2023-05-22 11:43:42,360 : resnet110_c100_LT     | uncal_ece 41.98 | uncal_acc : 38.57 | cal_ece 14.48 | cal_acc : 38.10
2023-05-22 11:43:44,252 : resnet110_SD_c100_LT  | uncal_ece 30.32 | uncal_acc : 34.87 | cal_ece  4.52 | cal_acc : 34.06
