2023-05-22 05:17:56,017 : densenet40_c10        | uncal_ece  5.50 | uncal_acc : 92.42 | cal_ece  1.21 | cal_acc : 92.38
2023-05-22 05:17:58,162 : resnet_wide32_c10     | uncal_ece  4.51 | uncal_acc : 93.93 | cal_ece  1.13 | cal_acc : 94.09
2023-05-22 05:18:00,317 : resnet110_c10         | uncal_ece  4.75 | uncal_acc : 93.56 | cal_ece  0.63 | cal_acc : 93.49
2023-05-22 05:18:02,470 : resnet110_SD_c10      | uncal_ece  4.11 | uncal_acc : 94.04 | cal_ece  0.52 | cal_acc : 94.08
2023-05-22 05:18:04,715 : densenet40_c100       | uncal_ece 21.16 | uncal_acc : 70.00 | cal_ece  3.29 | cal_acc : 70.27
2023-05-22 05:18:06,941 : resnet_wide32_c100    | uncal_ece 18.78 | uncal_acc : 73.82 | cal_ece  3.20 | cal_acc : 74.04
2023-05-22 05:18:09,221 : resnet110_c100        | uncal_ece 18.48 | uncal_acc : 71.48 | cal_ece  2.17 | cal_acc : 71.55
2023-05-22 05:18:11,422 : resnet110_SD_c100     | uncal_ece 15.86 | uncal_acc : 72.83 | cal_ece  2.13 | cal_acc : 73.52
2023-05-22 05:18:15,834 : resnet152_imgnet      | uncal_ece  6.54 | uncal_acc : 76.20 | cal_ece  6.17 | cal_acc : 76.15
2023-05-22 05:18:20,262 : densenet161_imgnet    | uncal_ece  5.72 | uncal_acc : 77.05 | cal_ece  5.84 | cal_acc : 77.01
2023-05-22 05:18:28,039 : densenet40_c10_LT     | uncal_ece 21.08 | uncal_acc : 72.11 | cal_ece  8.13 | cal_acc : 72.00
2023-05-22 05:18:30,358 : resnet_wide28_c10_LT  | uncal_ece  9.11 | uncal_acc : 85.38 | cal_ece  2.59 | cal_acc : 86.03
2023-05-22 05:18:33,848 : resnet110_c10_LT      | uncal_ece 19.14 | uncal_acc : 75.97 | cal_ece  8.94 | cal_acc : 76.08
2023-05-22 05:18:36,112 : resnet110_SD_c10_LT   | uncal_ece 14.43 | uncal_acc : 64.90 | cal_ece  4.59 | cal_acc : 63.76
2023-05-22 05:18:38,457 : densenet40_c100_LT    | uncal_ece 38.40 | uncal_acc : 37.97 | cal_ece 14.35 | cal_acc : 37.27
2023-05-22 05:18:41,014 : resnet_wide28_c100_LT | uncal_ece 18.08 | uncal_acc : 53.57 | cal_ece  6.76 | cal_acc : 55.75
2023-05-22 05:18:43,514 : resnet110_c100_LT     | uncal_ece 41.98 | uncal_acc : 38.57 | cal_ece 16.94 | cal_acc : 37.77
2023-05-22 05:18:45,666 : resnet110_SD_c100_LT  | uncal_ece 30.32 | uncal_acc : 34.87 | cal_ece  8.47 | cal_acc : 33.64
