2023-05-23 08:19:28,075 : densenet40_c10        | uncal_ece  5.50 | uncal_acc : 92.42 | cal_ece  0.86 | cal_acc : 92.42
2023-05-23 08:20:03,324 : resnet_wide32_c10     | uncal_ece  4.51 | uncal_acc : 93.93 | cal_ece  0.78 | cal_acc : 93.93
2023-05-23 08:20:32,194 : resnet110_c10         | uncal_ece  4.75 | uncal_acc : 93.56 | cal_ece  1.02 | cal_acc : 93.56
2023-05-23 08:21:06,269 : resnet110_SD_c10      | uncal_ece  4.11 | uncal_acc : 94.04 | cal_ece  0.55 | cal_acc : 94.04
2023-05-23 08:23:07,494 : densenet40_c100       | uncal_ece 21.16 | uncal_acc : 70.00 | cal_ece  0.79 | cal_acc : 70.00
2023-05-23 08:24:44,872 : resnet_wide32_c100    | uncal_ece 18.78 | uncal_acc : 73.82 | cal_ece  1.28 | cal_acc : 73.82
2023-05-23 08:26:14,327 : resnet110_c100        | uncal_ece 18.48 | uncal_acc : 71.48 | cal_ece  2.28 | cal_acc : 71.48
2023-05-23 08:27:40,980 : resnet110_SD_c100     | uncal_ece 15.86 | uncal_acc : 72.83 | cal_ece  1.22 | cal_acc : 72.83
2023-05-23 08:39:51,658 : resnet152_imgnet      | uncal_ece  6.54 | uncal_acc : 76.20 | cal_ece  2.03 | cal_acc : 76.20
2023-05-23 08:51:25,757 : densenet161_imgnet    | uncal_ece  5.72 | uncal_acc : 77.05 | cal_ece  1.93 | cal_acc : 77.05
2023-05-23 08:51:41,061 : densenet40_c10_LT     | uncal_ece 21.08 | uncal_acc : 72.11 | cal_ece  3.50 | cal_acc : 72.11
2023-05-23 08:51:52,152 : resnet_wide28_c10_LT  | uncal_ece  9.11 | uncal_acc : 85.38 | cal_ece  3.33 | cal_acc : 85.38
2023-05-23 08:52:08,852 : resnet110_c10_LT      | uncal_ece 19.14 | uncal_acc : 75.97 | cal_ece  3.80 | cal_acc : 75.97
2023-05-23 08:52:19,670 : resnet110_SD_c10_LT   | uncal_ece 14.43 | uncal_acc : 64.90 | cal_ece  2.86 | cal_acc : 64.90
2023-05-23 08:53:14,455 : densenet40_c100_LT    | uncal_ece 38.40 | uncal_acc : 37.97 | cal_ece  5.27 | cal_acc : 37.97
2023-05-23 08:53:53,772 : resnet_wide28_c100_LT | uncal_ece 18.08 | uncal_acc : 53.57 | cal_ece  7.29 | cal_acc : 53.57
2023-05-23 08:54:49,641 : resnet110_c100_LT     | uncal_ece 41.98 | uncal_acc : 38.57 | cal_ece  5.23 | cal_acc : 38.57
2023-05-23 08:55:36,847 : resnet110_SD_c100_LT  | uncal_ece 30.32 | uncal_acc : 34.87 | cal_ece  1.74 | cal_acc : 34.87
