2023-05-23 07:26:46,486 : densenet40_c10        | uncal_ece  5.50 | uncal_acc : 92.42 | cal_ece  0.87 | cal_acc : 92.42
2023-05-23 07:27:10,403 : resnet_wide32_c10     | uncal_ece  4.51 | uncal_acc : 93.93 | cal_ece  0.77 | cal_acc : 93.93
2023-05-23 07:27:38,510 : resnet110_c10         | uncal_ece  4.75 | uncal_acc : 93.56 | cal_ece  1.02 | cal_acc : 93.56
2023-05-23 07:28:08,980 : resnet110_SD_c10      | uncal_ece  4.11 | uncal_acc : 94.04 | cal_ece  0.53 | cal_acc : 94.04
2023-05-23 07:30:00,291 : densenet40_c100       | uncal_ece 21.16 | uncal_acc : 70.00 | cal_ece  0.79 | cal_acc : 70.00
2023-05-23 07:32:24,747 : resnet_wide32_c100    | uncal_ece 18.78 | uncal_acc : 73.82 | cal_ece  1.35 | cal_acc : 73.82
2023-05-23 07:35:25,177 : resnet110_c100        | uncal_ece 18.48 | uncal_acc : 71.48 | cal_ece  2.40 | cal_acc : 71.48
2023-05-23 07:38:05,595 : resnet110_SD_c100     | uncal_ece 15.86 | uncal_acc : 72.83 | cal_ece  1.22 | cal_acc : 72.83
2023-05-23 07:59:07,353 : resnet152_imgnet      | uncal_ece  6.54 | uncal_acc : 76.20 | cal_ece  2.04 | cal_acc : 76.20
2023-05-23 08:12:53,159 : densenet161_imgnet    | uncal_ece  5.72 | uncal_acc : 77.05 | cal_ece  1.95 | cal_acc : 77.05
2023-05-23 08:13:27,860 : densenet40_c10_LT     | uncal_ece 21.08 | uncal_acc : 72.11 | cal_ece  3.63 | cal_acc : 72.11
2023-05-23 08:13:54,419 : resnet_wide28_c10_LT  | uncal_ece  9.11 | uncal_acc : 85.38 | cal_ece  3.36 | cal_acc : 85.38
2023-05-23 08:14:29,660 : resnet110_c10_LT      | uncal_ece 19.14 | uncal_acc : 75.97 | cal_ece  3.82 | cal_acc : 75.97
2023-05-23 08:14:58,001 : resnet110_SD_c10_LT   | uncal_ece 14.43 | uncal_acc : 64.90 | cal_ece  2.88 | cal_acc : 64.90
2023-05-23 08:16:54,280 : densenet40_c100_LT    | uncal_ece 38.40 | uncal_acc : 37.97 | cal_ece  5.44 | cal_acc : 37.97
2023-05-23 08:18:25,155 : resnet_wide28_c100_LT | uncal_ece 18.08 | uncal_acc : 53.57 | cal_ece  7.30 | cal_acc : 53.57
2023-05-23 08:20:54,289 : resnet110_c100_LT     | uncal_ece 41.98 | uncal_acc : 38.57 | cal_ece  5.31 | cal_acc : 38.57
2023-05-23 08:22:33,861 : resnet110_SD_c100_LT  | uncal_ece 30.32 | uncal_acc : 34.87 | cal_ece  1.73 | cal_acc : 34.87
