2023-05-22 02:15:16,093 : densenet40_c10        | uncal_ece  5.50 | uncal_acc : 92.42 | cal_ece  0.95 | cal_acc : 92.42
2023-05-22 02:15:16,714 : resnet_wide32_c10     | uncal_ece  4.51 | uncal_acc : 93.93 | cal_ece  0.78 | cal_acc : 93.93
2023-05-22 02:15:17,335 : resnet110_c10         | uncal_ece  4.75 | uncal_acc : 93.56 | cal_ece  1.13 | cal_acc : 93.56
2023-05-22 02:15:17,957 : resnet110_SD_c10      | uncal_ece  4.11 | uncal_acc : 94.04 | cal_ece  0.56 | cal_acc : 94.04
2023-05-22 02:15:18,581 : densenet40_c100       | uncal_ece 21.16 | uncal_acc : 70.00 | cal_ece  0.90 | cal_acc : 70.00
2023-05-22 02:15:19,209 : resnet_wide32_c100    | uncal_ece 18.78 | uncal_acc : 73.82 | cal_ece  1.47 | cal_acc : 73.82
2023-05-22 02:15:19,826 : resnet110_c100        | uncal_ece 18.48 | uncal_acc : 71.48 | cal_ece  2.38 | cal_acc : 71.48
2023-05-22 02:15:20,497 : resnet110_SD_c100     | uncal_ece 15.86 | uncal_acc : 72.83 | cal_ece  1.21 | cal_acc : 72.83
2023-05-22 02:15:29,313 : resnet152_imgnet      | uncal_ece  6.54 | uncal_acc : 76.20 | cal_ece  2.08 | cal_acc : 76.20
2023-05-22 02:15:38,159 : densenet161_imgnet    | uncal_ece  5.72 | uncal_acc : 77.05 | cal_ece  1.94 | cal_acc : 77.05
2023-05-22 02:15:38,814 : densenet40_c10_LT     | uncal_ece 21.08 | uncal_acc : 72.11 | cal_ece  6.10 | cal_acc : 72.11
2023-05-22 02:15:39,428 : resnet_wide28_c10_LT  | uncal_ece  9.11 | uncal_acc : 85.38 | cal_ece  4.43 | cal_acc : 85.38
2023-05-22 02:15:40,048 : resnet110_c10_LT      | uncal_ece 19.14 | uncal_acc : 75.97 | cal_ece  5.90 | cal_acc : 75.97
2023-05-22 02:15:40,832 : resnet110_SD_c10_LT   | uncal_ece 14.43 | uncal_acc : 64.90 | cal_ece  6.76 | cal_acc : 64.90
2023-05-22 02:15:41,661 : densenet40_c100_LT    | uncal_ece 38.40 | uncal_acc : 37.97 | cal_ece  8.77 | cal_acc : 37.97
2023-05-22 02:15:42,492 : resnet_wide28_c100_LT | uncal_ece 18.08 | uncal_acc : 53.57 | cal_ece  9.60 | cal_acc : 53.57
2023-05-22 02:15:43,320 : resnet110_c100_LT     | uncal_ece 41.98 | uncal_acc : 38.57 | cal_ece  8.29 | cal_acc : 38.57
2023-05-22 02:15:44,151 : resnet110_SD_c100_LT  | uncal_ece 30.32 | uncal_acc : 34.87 | cal_ece  4.69 | cal_acc : 34.87
