2023-05-22 04:24:31,945 : densenet40_c10        | uncal_ece  5.50 | uncal_acc : 92.42 | cal_ece  0.85 | cal_acc : 92.42
2023-05-22 04:24:34,137 : resnet_wide32_c10     | uncal_ece  4.51 | uncal_acc : 93.93 | cal_ece  0.79 | cal_acc : 93.93
2023-05-22 04:24:36,349 : resnet110_c10         | uncal_ece  4.75 | uncal_acc : 93.56 | cal_ece  1.02 | cal_acc : 93.56
2023-05-22 04:24:38,543 : resnet110_SD_c10      | uncal_ece  4.11 | uncal_acc : 94.04 | cal_ece  0.55 | cal_acc : 94.04
2023-05-22 04:24:51,909 : densenet40_c100       | uncal_ece 21.16 | uncal_acc : 70.00 | cal_ece  0.80 | cal_acc : 70.00
2023-05-22 04:25:05,226 : resnet_wide32_c100    | uncal_ece 18.78 | uncal_acc : 73.82 | cal_ece  1.35 | cal_acc : 73.82
2023-05-22 04:25:18,471 : resnet110_c100        | uncal_ece 18.48 | uncal_acc : 71.48 | cal_ece  2.44 | cal_acc : 71.48
2023-05-22 04:25:31,822 : resnet110_SD_c100     | uncal_ece 15.86 | uncal_acc : 72.83 | cal_ece  1.18 | cal_acc : 72.83
2023-05-22 04:37:29,687 : resnet152_imgnet      | uncal_ece  6.54 | uncal_acc : 76.20 | cal_ece  2.04 | cal_acc : 76.20
2023-05-22 04:49:26,769 : densenet161_imgnet    | uncal_ece  5.72 | uncal_acc : 77.05 | cal_ece  1.96 | cal_acc : 77.05
2023-05-22 04:49:29,135 : densenet40_c10_LT     | uncal_ece 21.08 | uncal_acc : 72.11 | cal_ece  3.57 | cal_acc : 72.11
2023-05-22 04:49:31,494 : resnet_wide28_c10_LT  | uncal_ece  9.11 | uncal_acc : 85.38 | cal_ece  3.34 | cal_acc : 85.38
2023-05-22 04:49:33,860 : resnet110_c10_LT      | uncal_ece 19.14 | uncal_acc : 75.97 | cal_ece  3.81 | cal_acc : 75.97
2023-05-22 04:49:36,280 : resnet110_SD_c10_LT   | uncal_ece 14.43 | uncal_acc : 64.90 | cal_ece  2.84 | cal_acc : 64.90
2023-05-22 04:49:52,075 : densenet40_c100_LT    | uncal_ece 38.40 | uncal_acc : 37.97 | cal_ece  5.44 | cal_acc : 37.97
2023-05-22 04:50:07,888 : resnet_wide28_c100_LT | uncal_ece 18.08 | uncal_acc : 53.57 | cal_ece  7.30 | cal_acc : 53.57
2023-05-22 04:50:23,671 : resnet110_c100_LT     | uncal_ece 41.98 | uncal_acc : 38.57 | cal_ece  5.31 | cal_acc : 38.57
2023-05-22 04:50:39,411 : resnet110_SD_c100_LT  | uncal_ece 30.32 | uncal_acc : 34.87 | cal_ece  1.73 | cal_acc : 34.87
