2023-05-22 02:29:06,891 : densenet40_c10        | uncal_ece  5.50 | uncal_acc : 92.42 | cal_ece  0.71 | cal_acc : 92.42
2023-05-22 02:29:09,098 : resnet_wide32_c10     | uncal_ece  4.51 | uncal_acc : 93.93 | cal_ece  0.77 | cal_acc : 93.93
2023-05-22 02:29:11,242 : resnet110_c10         | uncal_ece  4.75 | uncal_acc : 93.56 | cal_ece  0.82 | cal_acc : 93.56
2023-05-22 02:29:13,476 : resnet110_SD_c10      | uncal_ece  4.11 | uncal_acc : 94.04 | cal_ece  0.47 | cal_acc : 94.04
2023-05-22 02:29:26,818 : densenet40_c100       | uncal_ece 21.16 | uncal_acc : 70.00 | cal_ece  0.80 | cal_acc : 70.00
2023-05-22 02:29:40,133 : resnet_wide32_c100    | uncal_ece 18.78 | uncal_acc : 73.82 | cal_ece  1.18 | cal_acc : 73.82
2023-05-22 02:29:53,368 : resnet110_c100        | uncal_ece 18.48 | uncal_acc : 71.48 | cal_ece  1.88 | cal_acc : 71.48
2023-05-22 02:30:06,610 : resnet110_SD_c100     | uncal_ece 15.86 | uncal_acc : 72.83 | cal_ece  1.05 | cal_acc : 72.83
2023-05-22 02:42:01,181 : resnet152_imgnet      | uncal_ece  6.54 | uncal_acc : 76.20 | cal_ece  2.03 | cal_acc : 76.20
2023-05-22 02:53:56,174 : densenet161_imgnet    | uncal_ece  5.72 | uncal_acc : 77.05 | cal_ece  1.92 | cal_acc : 77.05
2023-05-22 02:53:58,557 : densenet40_c10_LT     | uncal_ece 21.08 | uncal_acc : 72.11 | cal_ece  3.13 | cal_acc : 72.11
2023-05-22 02:54:00,913 : resnet_wide28_c10_LT  | uncal_ece  9.11 | uncal_acc : 85.38 | cal_ece  3.16 | cal_acc : 85.38
2023-05-22 02:54:03,214 : resnet110_c10_LT      | uncal_ece 19.14 | uncal_acc : 75.97 | cal_ece  3.47 | cal_acc : 75.97
2023-05-22 02:54:05,567 : resnet110_SD_c10_LT   | uncal_ece 14.43 | uncal_acc : 64.90 | cal_ece  2.40 | cal_acc : 64.90
2023-05-22 02:54:21,277 : densenet40_c100_LT    | uncal_ece 38.40 | uncal_acc : 37.97 | cal_ece  4.29 | cal_acc : 37.97
2023-05-22 02:54:36,975 : resnet_wide28_c100_LT | uncal_ece 18.08 | uncal_acc : 53.57 | cal_ece  6.90 | cal_acc : 53.57
2023-05-22 02:54:53,115 : resnet110_c100_LT     | uncal_ece 41.98 | uncal_acc : 38.57 | cal_ece  4.33 | cal_acc : 38.57
2023-05-22 02:55:08,962 : resnet110_SD_c100_LT  | uncal_ece 30.32 | uncal_acc : 34.87 | cal_ece  1.45 | cal_acc : 34.87
