2023-05-23 07:26:45,998 : densenet40_c10        | uncal_ece  5.50 | uncal_acc : 92.42 | cal_ece  0.86 | cal_acc : 92.42
2023-05-23 07:27:00,840 : resnet_wide32_c10     | uncal_ece  4.51 | uncal_acc : 93.93 | cal_ece  0.78 | cal_acc : 93.93
2023-05-23 07:27:15,713 : resnet110_c10         | uncal_ece  4.75 | uncal_acc : 93.56 | cal_ece  1.03 | cal_acc : 93.56
2023-05-23 07:27:30,617 : resnet110_SD_c10      | uncal_ece  4.11 | uncal_acc : 94.04 | cal_ece  0.55 | cal_acc : 94.04
2023-05-23 07:29:54,762 : densenet40_c100       | uncal_ece 21.16 | uncal_acc : 70.00 | cal_ece  0.84 | cal_acc : 70.00
2023-05-23 07:33:19,365 : resnet_wide32_c100    | uncal_ece 18.78 | uncal_acc : 73.82 | cal_ece  1.36 | cal_acc : 73.82
2023-05-23 07:37:38,615 : resnet110_c100        | uncal_ece 18.48 | uncal_acc : 71.48 | cal_ece  2.43 | cal_acc : 71.48
2023-05-23 07:42:51,073 : resnet110_SD_c100     | uncal_ece 15.86 | uncal_acc : 72.83 | cal_ece  1.19 | cal_acc : 72.83
2023-05-23 08:21:18,813 : resnet152_imgnet      | uncal_ece  6.54 | uncal_acc : 76.20 | cal_ece  2.04 | cal_acc : 76.20
2023-05-23 08:50:30,924 : densenet161_imgnet    | uncal_ece  5.72 | uncal_acc : 77.05 | cal_ece  1.95 | cal_acc : 77.05
2023-05-23 08:50:45,422 : densenet40_c10_LT     | uncal_ece 21.08 | uncal_acc : 72.11 | cal_ece  3.63 | cal_acc : 72.11
2023-05-23 08:50:59,815 : resnet_wide28_c10_LT  | uncal_ece  9.11 | uncal_acc : 85.38 | cal_ece  3.36 | cal_acc : 85.38
2023-05-23 08:51:14,984 : resnet110_c10_LT      | uncal_ece 19.14 | uncal_acc : 75.97 | cal_ece  3.83 | cal_acc : 75.97
2023-05-23 08:51:28,365 : resnet110_SD_c10_LT   | uncal_ece 14.43 | uncal_acc : 64.90 | cal_ece  2.88 | cal_acc : 64.90
2023-05-23 08:52:42,951 : densenet40_c100_LT    | uncal_ece 38.40 | uncal_acc : 37.97 | cal_ece  5.49 | cal_acc : 37.97
2023-05-23 08:53:59,284 : resnet_wide28_c100_LT | uncal_ece 18.08 | uncal_acc : 53.57 | cal_ece  7.29 | cal_acc : 53.57
2023-05-23 08:55:15,332 : resnet110_c100_LT     | uncal_ece 41.98 | uncal_acc : 38.57 | cal_ece  5.33 | cal_acc : 38.57
2023-05-23 08:55:48,199 : resnet110_SD_c100_LT  | uncal_ece 30.32 | uncal_acc : 34.87 | cal_ece  1.72 | cal_acc : 34.87
