2023-05-22 11:44:07,169 : densenet40_c10        | uncal_ece  5.50 | uncal_acc : 92.42 | cal_ece  9.62 | cal_acc : 92.42
2023-05-22 11:44:07,894 : resnet_wide32_c10     | uncal_ece  4.51 | uncal_acc : 93.93 | cal_ece 11.88 | cal_acc : 93.93
2023-05-22 11:44:08,576 : resnet110_c10         | uncal_ece  4.75 | uncal_acc : 93.56 | cal_ece 15.68 | cal_acc : 93.56
2023-05-22 11:44:09,250 : resnet110_SD_c10      | uncal_ece  4.11 | uncal_acc : 94.04 | cal_ece  8.99 | cal_acc : 94.04
2023-05-22 11:44:09,958 : densenet40_c100       | uncal_ece 21.16 | uncal_acc : 70.00 | cal_ece 11.91 | cal_acc : 70.00
2023-05-22 11:44:11,046 : resnet_wide32_c100    | uncal_ece 18.78 | uncal_acc : 73.82 | cal_ece 10.12 | cal_acc : 73.82
2023-05-22 11:44:11,983 : resnet110_c100        | uncal_ece 18.48 | uncal_acc : 71.48 | cal_ece 11.10 | cal_acc : 71.48
2023-05-22 11:44:13,083 : resnet110_SD_c100     | uncal_ece 15.86 | uncal_acc : 72.83 | cal_ece 11.07 | cal_acc : 72.83
2023-05-22 11:44:21,068 : resnet152_imgnet      | uncal_ece  6.54 | uncal_acc : 76.20 | cal_ece  7.78 | cal_acc : 76.20
2023-05-22 11:44:29,081 : densenet161_imgnet    | uncal_ece  5.72 | uncal_acc : 77.05 | cal_ece  8.05 | cal_acc : 77.05
2023-05-22 11:44:30,236 : densenet40_c10_LT     | uncal_ece 21.08 | uncal_acc : 72.11 | cal_ece 10.52 | cal_acc : 72.11
2023-05-22 11:44:30,929 : resnet_wide28_c10_LT  | uncal_ece  9.11 | uncal_acc : 85.38 | cal_ece 12.42 | cal_acc : 85.38
2023-05-22 11:44:31,606 : resnet110_c10_LT      | uncal_ece 19.14 | uncal_acc : 75.97 | cal_ece 10.20 | cal_acc : 75.97
2023-05-22 11:44:32,432 : resnet110_SD_c10_LT   | uncal_ece 14.43 | uncal_acc : 64.90 | cal_ece 10.24 | cal_acc : 64.90
2023-05-22 11:44:33,106 : densenet40_c100_LT    | uncal_ece 38.40 | uncal_acc : 37.97 | cal_ece  1.25 | cal_acc : 37.97
2023-05-22 11:44:33,777 : resnet_wide28_c100_LT | uncal_ece 18.08 | uncal_acc : 53.57 | cal_ece  6.17 | cal_acc : 53.57
2023-05-22 11:44:34,467 : resnet110_c100_LT     | uncal_ece 41.98 | uncal_acc : 38.57 | cal_ece  1.76 | cal_acc : 38.57
2023-05-22 11:44:35,145 : resnet110_SD_c100_LT  | uncal_ece 30.32 | uncal_acc : 34.87 | cal_ece  4.53 | cal_acc : 34.87
