2023-05-22 05:16:47,243 : densenet40_c10        | uncal_ece  5.50 | uncal_acc : 92.42 | cal_ece  8.73 | cal_acc : 92.42
2023-05-22 05:16:48,122 : resnet_wide32_c10     | uncal_ece  4.51 | uncal_acc : 93.93 | cal_ece  7.76 | cal_acc : 93.93
2023-05-22 05:16:49,269 : resnet110_c10         | uncal_ece  4.75 | uncal_acc : 93.56 | cal_ece  5.42 | cal_acc : 93.56
2023-05-22 05:16:50,100 : resnet110_SD_c10      | uncal_ece  4.11 | uncal_acc : 94.04 | cal_ece  9.03 | cal_acc : 94.04
2023-05-22 05:16:50,965 : densenet40_c100       | uncal_ece 21.16 | uncal_acc : 70.00 | cal_ece  9.61 | cal_acc : 70.00
2023-05-22 05:16:51,840 : resnet_wide32_c100    | uncal_ece 18.78 | uncal_acc : 73.82 | cal_ece  7.68 | cal_acc : 73.82
2023-05-22 05:16:52,940 : resnet110_c100        | uncal_ece 18.48 | uncal_acc : 71.48 | cal_ece  5.86 | cal_acc : 71.48
2023-05-22 05:16:53,809 : resnet110_SD_c100     | uncal_ece 15.86 | uncal_acc : 72.83 | cal_ece 10.12 | cal_acc : 72.83
2023-05-22 05:17:03,394 : resnet152_imgnet      | uncal_ece  6.54 | uncal_acc : 76.20 | cal_ece  8.48 | cal_acc : 76.20
2023-05-22 05:17:12,989 : densenet161_imgnet    | uncal_ece  5.72 | uncal_acc : 77.05 | cal_ece  8.06 | cal_acc : 77.05
2023-05-22 05:17:14,314 : densenet40_c10_LT     | uncal_ece 21.08 | uncal_acc : 72.11 | cal_ece  1.02 | cal_acc : 72.11
2023-05-22 05:17:15,239 : resnet_wide28_c10_LT  | uncal_ece  9.11 | uncal_acc : 85.38 | cal_ece  1.67 | cal_acc : 85.38
2023-05-22 05:17:16,190 : resnet110_c10_LT      | uncal_ece 19.14 | uncal_acc : 75.97 | cal_ece  1.12 | cal_acc : 75.97
2023-05-22 05:17:17,188 : resnet110_SD_c10_LT   | uncal_ece 14.43 | uncal_acc : 64.90 | cal_ece  1.50 | cal_acc : 64.90
2023-05-22 05:17:18,269 : densenet40_c100_LT    | uncal_ece 38.40 | uncal_acc : 37.97 | cal_ece  3.62 | cal_acc : 37.97
2023-05-22 05:17:19,409 : resnet_wide28_c100_LT | uncal_ece 18.08 | uncal_acc : 53.57 | cal_ece  6.72 | cal_acc : 53.57
2023-05-22 05:17:20,521 : resnet110_c100_LT     | uncal_ece 41.98 | uncal_acc : 38.57 | cal_ece  3.85 | cal_acc : 38.57
2023-05-22 05:17:21,600 : resnet110_SD_c100_LT  | uncal_ece 30.32 | uncal_acc : 34.87 | cal_ece  1.54 | cal_acc : 34.87
