2023-05-22 02:04:05,288 : densenet40_c10        | uncal_ece  5.50 | uncal_acc : 92.42 | cal_ece  0.96 | cal_acc : 92.42
2023-05-22 02:04:06,417 : resnet_wide32_c10     | uncal_ece  4.51 | uncal_acc : 93.93 | cal_ece  0.82 | cal_acc : 93.93
2023-05-22 02:04:07,459 : resnet110_c10         | uncal_ece  4.75 | uncal_acc : 93.56 | cal_ece  1.14 | cal_acc : 93.56
2023-05-22 02:04:08,569 : resnet110_SD_c10      | uncal_ece  4.11 | uncal_acc : 94.04 | cal_ece  0.54 | cal_acc : 94.04
2023-05-22 02:04:09,731 : densenet40_c100       | uncal_ece 21.16 | uncal_acc : 70.00 | cal_ece  0.97 | cal_acc : 70.00
2023-05-22 02:04:10,874 : resnet_wide32_c100    | uncal_ece 18.78 | uncal_acc : 73.82 | cal_ece  1.49 | cal_acc : 73.82
2023-05-22 02:04:11,881 : resnet110_c100        | uncal_ece 18.48 | uncal_acc : 71.48 | cal_ece  2.47 | cal_acc : 71.48
2023-05-22 02:04:12,903 : resnet110_SD_c100     | uncal_ece 15.86 | uncal_acc : 72.83 | cal_ece  1.27 | cal_acc : 72.83
2023-05-22 02:04:14,552 : resnet152_imgnet      | uncal_ece  6.54 | uncal_acc : 76.20 | cal_ece  2.07 | cal_acc : 76.20
2023-05-22 02:04:16,168 : densenet161_imgnet    | uncal_ece  5.72 | uncal_acc : 77.05 | cal_ece  1.96 | cal_acc : 77.05
2023-05-22 02:04:17,353 : densenet40_c10_LT     | uncal_ece 21.08 | uncal_acc : 72.11 | cal_ece  6.16 | cal_acc : 72.11
2023-05-22 02:04:18,289 : resnet_wide28_c10_LT  | uncal_ece  9.11 | uncal_acc : 85.38 | cal_ece  4.47 | cal_acc : 85.38
2023-05-22 02:04:19,526 : resnet110_c10_LT      | uncal_ece 19.14 | uncal_acc : 75.97 | cal_ece  5.94 | cal_acc : 75.97
2023-05-22 02:04:20,308 : resnet110_SD_c10_LT   | uncal_ece 14.43 | uncal_acc : 64.90 | cal_ece  6.84 | cal_acc : 64.90
2023-05-22 02:04:21,443 : densenet40_c100_LT    | uncal_ece 38.40 | uncal_acc : 37.97 | cal_ece  8.89 | cal_acc : 37.97
2023-05-22 02:04:22,192 : resnet_wide28_c100_LT | uncal_ece 18.08 | uncal_acc : 53.57 | cal_ece  9.62 | cal_acc : 53.57
2023-05-22 02:04:23,348 : resnet110_c100_LT     | uncal_ece 41.98 | uncal_acc : 38.57 | cal_ece  8.46 | cal_acc : 38.57
2023-05-22 02:04:24,370 : resnet110_SD_c100_LT  | uncal_ece 30.32 | uncal_acc : 34.87 | cal_ece  4.81 | cal_acc : 34.87
