2023-05-22 03:13:55,675 : densenet40_c10        | uncal_ece  5.50 | uncal_acc : 92.42 | cal_ece  0.86 | cal_acc : 92.42
2023-05-22 03:13:57,465 : resnet_wide32_c10     | uncal_ece  4.51 | uncal_acc : 93.93 | cal_ece  0.78 | cal_acc : 93.93
2023-05-22 03:13:58,964 : resnet110_c10         | uncal_ece  4.75 | uncal_acc : 93.56 | cal_ece  1.03 | cal_acc : 93.56
2023-05-22 03:14:00,708 : resnet110_SD_c10      | uncal_ece  4.11 | uncal_acc : 94.04 | cal_ece  0.53 | cal_acc : 94.04
2023-05-22 03:14:06,945 : densenet40_c100       | uncal_ece 21.16 | uncal_acc : 70.00 | cal_ece  0.94 | cal_acc : 70.00
2023-05-22 03:14:13,017 : resnet_wide32_c100    | uncal_ece 18.78 | uncal_acc : 73.82 | cal_ece  1.38 | cal_acc : 73.82
2023-05-22 03:14:18,673 : resnet110_c100        | uncal_ece 18.48 | uncal_acc : 71.48 | cal_ece  2.41 | cal_acc : 71.48
2023-05-22 03:14:23,811 : resnet110_SD_c100     | uncal_ece 15.86 | uncal_acc : 72.83 | cal_ece  1.24 | cal_acc : 72.83
2023-05-22 03:17:22,680 : resnet152_imgnet      | uncal_ece  6.54 | uncal_acc : 76.20 | cal_ece  2.07 | cal_acc : 76.20
2023-05-22 03:20:17,225 : densenet161_imgnet    | uncal_ece  5.72 | uncal_acc : 77.05 | cal_ece  1.95 | cal_acc : 77.05
2023-05-22 03:20:19,163 : densenet40_c10_LT     | uncal_ece 21.08 | uncal_acc : 72.11 | cal_ece  3.63 | cal_acc : 72.11
2023-05-22 03:20:20,682 : resnet_wide28_c10_LT  | uncal_ece  9.11 | uncal_acc : 85.38 | cal_ece  3.37 | cal_acc : 85.38
2023-05-22 03:20:22,652 : resnet110_c10_LT      | uncal_ece 19.14 | uncal_acc : 75.97 | cal_ece  3.82 | cal_acc : 75.97
2023-05-22 03:20:24,000 : resnet110_SD_c10_LT   | uncal_ece 14.43 | uncal_acc : 64.90 | cal_ece  2.87 | cal_acc : 64.90
2023-05-22 03:20:30,780 : densenet40_c100_LT    | uncal_ece 38.40 | uncal_acc : 37.97 | cal_ece  5.52 | cal_acc : 37.97
2023-05-22 03:20:35,705 : resnet_wide28_c100_LT | uncal_ece 18.08 | uncal_acc : 53.57 | cal_ece  7.35 | cal_acc : 53.57
2023-05-22 03:20:42,242 : resnet110_c100_LT     | uncal_ece 41.98 | uncal_acc : 38.57 | cal_ece  5.45 | cal_acc : 38.57
2023-05-22 03:20:48,207 : resnet110_SD_c100_LT  | uncal_ece 30.32 | uncal_acc : 34.87 | cal_ece  1.75 | cal_acc : 34.87
