2023-05-22 02:07:00,293 : densenet40_c10        | uncal_ece  5.50 | uncal_acc : 92.42 | cal_ece  0.71 | cal_acc : 92.42
2023-05-22 02:07:01,952 : resnet_wide32_c10     | uncal_ece  4.51 | uncal_acc : 93.93 | cal_ece  0.78 | cal_acc : 93.93
2023-05-22 02:07:03,497 : resnet110_c10         | uncal_ece  4.75 | uncal_acc : 93.56 | cal_ece  0.85 | cal_acc : 93.56
2023-05-22 02:07:05,251 : resnet110_SD_c10      | uncal_ece  4.11 | uncal_acc : 94.04 | cal_ece  0.49 | cal_acc : 94.04
2023-05-22 02:07:11,293 : densenet40_c100       | uncal_ece 21.16 | uncal_acc : 70.00 | cal_ece  0.81 | cal_acc : 70.00
2023-05-22 02:07:17,245 : resnet_wide32_c100    | uncal_ece 18.78 | uncal_acc : 73.82 | cal_ece  1.23 | cal_acc : 73.82
2023-05-22 02:07:22,434 : resnet110_c100        | uncal_ece 18.48 | uncal_acc : 71.48 | cal_ece  1.84 | cal_acc : 71.48
2023-05-22 02:07:27,665 : resnet110_SD_c100     | uncal_ece 15.86 | uncal_acc : 72.83 | cal_ece  1.18 | cal_acc : 72.83
2023-05-22 02:10:21,424 : resnet152_imgnet      | uncal_ece  6.54 | uncal_acc : 76.20 | cal_ece  2.01 | cal_acc : 76.20
2023-05-22 02:13:13,945 : densenet161_imgnet    | uncal_ece  5.72 | uncal_acc : 77.05 | cal_ece  1.93 | cal_acc : 77.05
2023-05-22 02:13:15,744 : densenet40_c10_LT     | uncal_ece 21.08 | uncal_acc : 72.11 | cal_ece  3.22 | cal_acc : 72.11
2023-05-22 02:13:17,054 : resnet_wide28_c10_LT  | uncal_ece  9.11 | uncal_acc : 85.38 | cal_ece  3.19 | cal_acc : 85.38
2023-05-22 02:13:19,001 : resnet110_c10_LT      | uncal_ece 19.14 | uncal_acc : 75.97 | cal_ece  3.53 | cal_acc : 75.97
2023-05-22 02:13:20,154 : resnet110_SD_c10_LT   | uncal_ece 14.43 | uncal_acc : 64.90 | cal_ece  2.53 | cal_acc : 64.90
2023-05-22 02:13:26,414 : densenet40_c100_LT    | uncal_ece 38.40 | uncal_acc : 37.97 | cal_ece  4.44 | cal_acc : 37.97
2023-05-22 02:13:30,975 : resnet_wide28_c100_LT | uncal_ece 18.08 | uncal_acc : 53.57 | cal_ece  6.99 | cal_acc : 53.57
2023-05-22 02:13:37,424 : resnet110_c100_LT     | uncal_ece 41.98 | uncal_acc : 38.57 | cal_ece  4.50 | cal_acc : 38.57
2023-05-22 02:13:43,085 : resnet110_SD_c100_LT  | uncal_ece 30.32 | uncal_acc : 34.87 | cal_ece  1.48 | cal_acc : 34.87
