2023-05-23 07:26:11,926 : densenet40_c10        | uncal_ece  5.50 | uncal_acc : 92.42 | cal_ece  0.91 | cal_acc : 92.42
2023-05-23 07:26:13,414 : resnet_wide32_c10     | uncal_ece  4.51 | uncal_acc : 93.93 | cal_ece  0.79 | cal_acc : 93.93
2023-05-23 07:26:15,123 : resnet110_c10         | uncal_ece  4.75 | uncal_acc : 93.56 | cal_ece  1.03 | cal_acc : 93.56
2023-05-23 07:26:17,069 : resnet110_SD_c10      | uncal_ece  4.11 | uncal_acc : 94.04 | cal_ece  0.54 | cal_acc : 94.04
2023-05-23 07:27:20,680 : densenet40_c100       | uncal_ece 21.16 | uncal_acc : 70.00 | cal_ece  0.94 | cal_acc : 70.00
2023-05-23 07:28:32,813 : resnet_wide32_c100    | uncal_ece 18.78 | uncal_acc : 73.82 | cal_ece  1.40 | cal_acc : 73.82
2023-05-23 07:29:33,946 : resnet110_c100        | uncal_ece 18.48 | uncal_acc : 71.48 | cal_ece  2.44 | cal_acc : 71.48
2023-05-23 07:30:31,910 : resnet110_SD_c100     | uncal_ece 15.86 | uncal_acc : 72.83 | cal_ece  1.27 | cal_acc : 72.83
2023-05-23 07:38:45,849 : resnet152_imgnet      | uncal_ece  6.54 | uncal_acc : 76.20 | cal_ece  2.07 | cal_acc : 76.20
2023-05-23 07:49:58,569 : densenet161_imgnet    | uncal_ece  5.72 | uncal_acc : 77.05 | cal_ece  1.98 | cal_acc : 77.05
2023-05-23 07:50:44,138 : densenet40_c10_LT     | uncal_ece 21.08 | uncal_acc : 72.11 | cal_ece  4.12 | cal_acc : 72.11
2023-05-23 07:51:50,001 : resnet_wide28_c10_LT  | uncal_ece  9.11 | uncal_acc : 85.38 | cal_ece  3.37 | cal_acc : 85.38
2023-05-23 07:53:08,828 : resnet110_c10_LT      | uncal_ece 19.14 | uncal_acc : 75.97 | cal_ece  3.85 | cal_acc : 75.97
2023-05-23 07:54:18,135 : resnet110_SD_c10_LT   | uncal_ece 14.43 | uncal_acc : 64.90 | cal_ece  2.90 | cal_acc : 64.90
2023-05-23 07:57:43,518 : densenet40_c100_LT    | uncal_ece 38.40 | uncal_acc : 37.97 | cal_ece  5.53 | cal_acc : 37.97
2023-05-23 08:00:09,164 : resnet_wide28_c100_LT | uncal_ece 18.08 | uncal_acc : 53.57 | cal_ece  7.30 | cal_acc : 53.57
2023-05-23 08:03:01,464 : resnet110_c100_LT     | uncal_ece 41.98 | uncal_acc : 38.57 | cal_ece  5.36 | cal_acc : 38.57
2023-05-23 08:04:33,771 : resnet110_SD_c100_LT  | uncal_ece 30.32 | uncal_acc : 34.87 | cal_ece  2.03 | cal_acc : 34.87
