2023-05-22 05:12:56,097 : densenet40_c10        | uncal_ece  5.50 | uncal_acc : 92.42 | cal_ece  1.75 | cal_acc : 92.42
2023-05-22 05:12:58,088 : resnet_wide32_c10     | uncal_ece  4.51 | uncal_acc : 93.93 | cal_ece  1.46 | cal_acc : 93.93
2023-05-22 05:13:00,132 : resnet110_c10         | uncal_ece  4.75 | uncal_acc : 93.56 | cal_ece  0.58 | cal_acc : 93.56
2023-05-22 05:13:02,188 : resnet110_SD_c10      | uncal_ece  4.11 | uncal_acc : 94.04 | cal_ece  0.84 | cal_acc : 94.04
2023-05-22 05:13:05,452 : densenet40_c100       | uncal_ece 21.16 | uncal_acc : 70.00 | cal_ece  3.45 | cal_acc : 70.00
2023-05-22 05:13:08,761 : resnet_wide32_c100    | uncal_ece 18.78 | uncal_acc : 73.82 | cal_ece  3.20 | cal_acc : 73.82
2023-05-22 05:13:12,185 : resnet110_c100        | uncal_ece 18.48 | uncal_acc : 71.48 | cal_ece  1.67 | cal_acc : 71.48
2023-05-22 05:13:15,435 : resnet110_SD_c100     | uncal_ece 15.86 | uncal_acc : 72.83 | cal_ece  2.30 | cal_acc : 72.83
2023-05-22 05:13:18,296 : resnet152_imgnet      | uncal_ece  6.54 | uncal_acc : 76.20 | cal_ece  4.70 | cal_acc : 76.20
2023-05-22 05:13:20,901 : densenet161_imgnet    | uncal_ece  5.72 | uncal_acc : 77.05 | cal_ece  4.73 | cal_acc : 77.05
2023-05-22 05:13:24,063 : densenet40_c10_LT     | uncal_ece 21.08 | uncal_acc : 72.11 | cal_ece  7.24 | cal_acc : 72.11
2023-05-22 05:13:26,206 : resnet_wide28_c10_LT  | uncal_ece  9.11 | uncal_acc : 85.38 | cal_ece  1.68 | cal_acc : 85.38
2023-05-22 05:13:29,379 : resnet110_c10_LT      | uncal_ece 19.14 | uncal_acc : 75.97 | cal_ece  8.45 | cal_acc : 75.97
2023-05-22 05:13:32,568 : resnet110_SD_c10_LT   | uncal_ece 14.43 | uncal_acc : 64.90 | cal_ece  4.33 | cal_acc : 64.90
2023-05-22 05:13:35,864 : densenet40_c100_LT    | uncal_ece 38.40 | uncal_acc : 37.97 | cal_ece 10.01 | cal_acc : 37.97
2023-05-22 05:13:39,077 : resnet_wide28_c100_LT | uncal_ece 18.08 | uncal_acc : 53.57 | cal_ece  6.04 | cal_acc : 53.57
2023-05-22 05:13:42,306 : resnet110_c100_LT     | uncal_ece 41.98 | uncal_acc : 38.57 | cal_ece 12.91 | cal_acc : 38.57
2023-05-22 05:13:45,551 : resnet110_SD_c100_LT  | uncal_ece 30.32 | uncal_acc : 34.87 | cal_ece  2.31 | cal_acc : 34.87
