2023-05-22 05:14:36,526 : densenet40_c10        | uncal_ece  5.50 | uncal_acc : 92.42 | cal_ece  0.44 | cal_acc : 92.42
2023-05-22 05:14:40,008 : resnet_wide32_c10     | uncal_ece  4.51 | uncal_acc : 93.93 | cal_ece  0.68 | cal_acc : 93.93
2023-05-22 05:14:43,371 : resnet110_c10         | uncal_ece  4.75 | uncal_acc : 93.56 | cal_ece  1.20 | cal_acc : 93.56
2023-05-22 05:14:46,715 : resnet110_SD_c10      | uncal_ece  4.11 | uncal_acc : 94.04 | cal_ece  1.29 | cal_acc : 94.04
2023-05-22 05:14:50,147 : densenet40_c100       | uncal_ece 21.16 | uncal_acc : 70.00 | cal_ece  3.26 | cal_acc : 70.00
2023-05-22 05:14:53,553 : resnet_wide32_c100    | uncal_ece 18.78 | uncal_acc : 73.82 | cal_ece  3.15 | cal_acc : 73.82
2023-05-22 05:14:57,001 : resnet110_c100        | uncal_ece 18.48 | uncal_acc : 71.48 | cal_ece  1.97 | cal_acc : 71.48
2023-05-22 05:15:00,551 : resnet110_SD_c100     | uncal_ece 15.86 | uncal_acc : 72.83 | cal_ece  2.38 | cal_acc : 72.83
2023-05-22 05:15:07,963 : resnet152_imgnet      | uncal_ece  6.54 | uncal_acc : 76.20 | cal_ece  6.75 | cal_acc : 76.20
2023-05-22 05:15:15,306 : densenet161_imgnet    | uncal_ece  5.72 | uncal_acc : 77.05 | cal_ece  6.55 | cal_acc : 77.05
2023-05-22 05:15:18,778 : densenet40_c10_LT     | uncal_ece 21.08 | uncal_acc : 72.11 | cal_ece  8.16 | cal_acc : 72.11
2023-05-22 05:15:22,225 : resnet_wide28_c10_LT  | uncal_ece  9.11 | uncal_acc : 85.38 | cal_ece  2.44 | cal_acc : 85.38
2023-05-22 05:15:25,771 : resnet110_c10_LT      | uncal_ece 19.14 | uncal_acc : 75.97 | cal_ece  8.99 | cal_acc : 75.97
2023-05-22 05:15:29,204 : resnet110_SD_c10_LT   | uncal_ece 14.43 | uncal_acc : 64.90 | cal_ece  2.90 | cal_acc : 64.90
2023-05-22 05:15:32,788 : densenet40_c100_LT    | uncal_ece 38.40 | uncal_acc : 37.97 | cal_ece 12.37 | cal_acc : 37.97
2023-05-22 05:15:36,343 : resnet_wide28_c100_LT | uncal_ece 18.08 | uncal_acc : 53.57 | cal_ece  7.43 | cal_acc : 53.57
2023-05-22 05:15:39,961 : resnet110_c100_LT     | uncal_ece 41.98 | uncal_acc : 38.57 | cal_ece 15.02 | cal_acc : 38.57
2023-05-22 05:15:43,597 : resnet110_SD_c100_LT  | uncal_ece 30.32 | uncal_acc : 34.87 | cal_ece  5.85 | cal_acc : 34.87
